2025-01-27 19:37:21,595 | INFO | __main__ - Topic 'buzzline_json' already exists.
2025-01-27 19:37:21,604 | CRITICAL | __main__ - An unexpected error occurred: 'tuple' object has no attribute 'to_dict'. Exiting.
2025-01-27 19:37:21,604 | CRITICAL | __main__ - An unhandled error occurred: 'tuple' object has no attribute 'to_dict'. Exiting.
2025-01-27 19:37:21,605 | INFO | kafka.producer.kafka - Closing the Kafka producer with 9223372036.0 secs timeout.
2025-01-27 19:37:21,605 | INFO | kafka.conn - <BrokerConnection node_id=bootstrap-0 host=localhost:9092 <connected> [IPv6 ('::1', 9092, 0, 0)]>: Closing connection. 
2025-01-27 19:37:21,605 | INFO | __main__ - Kafka producer closed.
2025-01-27 19:41:11,842 | INFO | __main__ - Starting producer application...
2025-01-27 19:41:11,842 | INFO | __main__ - Kafka topic: buzzline_json
2025-01-27 19:41:11,842 | INFO | __main__ - Message interval: 1 seconds
2025-01-27 19:41:11,842 | INFO | __main__ - Data file: /Users/alvaroquintero/Data Streaming/buzzline-03-alvaro/data/buzz.json
2025-01-27 19:41:11,845 | INFO | kafka.conn - <BrokerConnection node_id=bootstrap-0 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: connecting to localhost:9092 [('::1', 9092, 0, 0) IPv6]
2025-01-27 19:41:11,846 | INFO | kafka.conn - Probing node bootstrap-0 broker version
2025-01-27 19:41:11,846 | INFO | kafka.conn - <BrokerConnection node_id=bootstrap-0 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: Connection complete.
2025-01-27 19:41:11,949 | INFO | kafka.conn - Broker version identified as 2.5.0
2025-01-27 19:41:11,949 | INFO | kafka.conn - Set configuration api_version=(2, 5, 0) to skip auto check_version requests on startup
2025-01-27 19:41:11,950 | INFO | __main__ - Topic 'buzzline_json' already exists.
2025-01-27 19:41:11,963 | CRITICAL | __main__ - An unexpected error occurred: 'tuple' object has no attribute 'to_dict'. Exiting.
2025-01-27 19:41:11,963 | CRITICAL | __main__ - An unhandled error occurred: 'tuple' object has no attribute 'to_dict'. Exiting.
2025-01-27 19:41:11,964 | INFO | kafka.producer.kafka - Closing the Kafka producer with 9223372036.0 secs timeout.
2025-01-27 19:41:11,965 | INFO | kafka.conn - <BrokerConnection node_id=bootstrap-0 host=localhost:9092 <connected> [IPv6 ('::1', 9092, 0, 0)]>: Closing connection. 
2025-01-27 19:41:11,965 | INFO | __main__ - Kafka producer closed.
2025-01-27 19:44:32,942 | INFO | __main__ - Starting producer application...
2025-01-27 19:44:32,943 | INFO | __main__ - Kafka topic: buzzline_json
2025-01-27 19:44:32,943 | INFO | __main__ - Message interval: 1 seconds
2025-01-27 19:44:32,943 | INFO | __main__ - Data file: /Users/alvaroquintero/Data Streaming/buzzline-03-alvaro/data/buzz.json
2025-01-27 19:44:32,946 | INFO | kafka.conn - <BrokerConnection node_id=bootstrap-0 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: connecting to localhost:9092 [('::1', 9092, 0, 0) IPv6]
2025-01-27 19:44:32,946 | INFO | kafka.conn - Probing node bootstrap-0 broker version
2025-01-27 19:44:32,947 | INFO | kafka.conn - <BrokerConnection node_id=bootstrap-0 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: Connection complete.
2025-01-27 19:44:33,052 | INFO | kafka.conn - Broker version identified as 2.5.0
2025-01-27 19:44:33,052 | INFO | kafka.conn - Set configuration api_version=(2, 5, 0) to skip auto check_version requests on startup
2025-01-27 19:44:33,053 | INFO | __main__ - Topic 'buzzline_json' already exists.
2025-01-27 19:44:33,063 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('Data engineering is my passion.', 'Eve'). Skipping.
2025-01-27 19:44:33,063 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('Distributed systems are fascinating.', 'Alice'). Skipping.
2025-01-27 19:44:33,063 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('Have a great day!', 'Charlie'). Skipping.
2025-01-27 19:44:33,063 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('Data engineering is my passion.', 'Alice'). Skipping.
2025-01-27 19:44:33,063 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('Distributed systems are fascinating.', 'Diana'). Skipping.
2025-01-27 19:44:33,063 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('Buzz messages for everyone.', 'Alice'). Skipping.
2025-01-27 19:44:33,063 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('Hello, Kafka world!', 'Diana'). Skipping.
2025-01-27 19:44:33,063 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('This is a buzz message.', 'Eve'). Skipping.
2025-01-27 19:44:33,063 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('JSON makes life easier.', 'Eve'). Skipping.
2025-01-27 19:44:33,063 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('JSON makes life easier.', 'Alice'). Skipping.
2025-01-27 19:44:33,063 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('Data engineering is my passion.', 'Diana'). Skipping.
2025-01-27 19:44:33,063 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('JSON makes life easier.', 'Diana'). Skipping.
2025-01-27 19:44:33,063 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('Kafka is awesome.', 'Charlie'). Skipping.
2025-01-27 19:44:33,063 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('JSON makes life easier.', 'Bob'). Skipping.
2025-01-27 19:44:33,064 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('I love Python!', 'Bob'). Skipping.
2025-01-27 19:44:33,064 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('This is a buzz message.', 'Eve'). Skipping.
2025-01-27 19:44:33,064 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('I love Python!', 'Eve'). Skipping.
2025-01-27 19:44:33,064 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('Buzz messages for everyone.', 'Alice'). Skipping.
2025-01-27 19:44:33,064 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('This is a buzz message.', 'Alice'). Skipping.
2025-01-27 19:44:33,064 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('Data engineering is my passion.', 'Diana'). Skipping.
2025-01-27 19:44:33,064 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('I love Python!', 'Eve'). Skipping.
2025-01-27 19:44:33,064 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('JSON makes life easier.', 'Charlie'). Skipping.
2025-01-27 19:44:33,064 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('Have a great day!', 'Bob'). Skipping.
2025-01-27 19:44:33,064 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('Data engineering is my passion.', 'Alice'). Skipping.
2025-01-27 19:44:33,064 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('Kafka is awesome.', 'Diana'). Skipping.
2025-01-27 19:44:33,064 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('Kafka is awesome.', 'Diana'). Skipping.
2025-01-27 19:44:33,064 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('Hello, Kafka world!', 'Bob'). Skipping.
2025-01-27 19:44:33,064 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('Distributed systems are fascinating.', 'Diana'). Skipping.
2025-01-27 19:44:33,064 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('I love Python!', 'Diana'). Skipping.
2025-01-27 19:44:33,064 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('Have a great day!', 'Alice'). Skipping.
2025-01-27 19:44:33,064 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('Hello, Kafka world!', 'Charlie'). Skipping.
2025-01-27 19:44:33,064 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('JSON makes life easier.', 'Diana'). Skipping.
2025-01-27 19:44:33,064 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('I love Python!', 'Bob'). Skipping.
2025-01-27 19:44:33,064 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('Have a great day!', 'Diana'). Skipping.
2025-01-27 19:44:33,064 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('Hello, Kafka world!', 'Alice'). Skipping.
2025-01-27 19:44:33,064 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('JSON makes life easier.', 'Alice'). Skipping.
2025-01-27 19:44:33,064 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('Buzz messages for everyone.', 'Charlie'). Skipping.
2025-01-27 19:44:33,065 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('Buzz messages for everyone.', 'Bob'). Skipping.
2025-01-27 19:44:33,065 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('Streaming data is fun.', 'Diana'). Skipping.
2025-01-27 19:44:33,065 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('Have a great day!', 'Diana'). Skipping.
2025-01-27 19:44:33,065 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('I love Python!', 'Alice'). Skipping.
2025-01-27 19:44:33,065 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('Streaming data is fun.', 'Charlie'). Skipping.
2025-01-27 19:44:33,065 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('Kafka is awesome.', 'Alice'). Skipping.
